Region,Soil_Health,Groundwater_Status,Overall_Risk,Suggestion
Punjab,🔴 खराब मिट्टी,🔴 बहुत कम पानी,🔴 उच्च जोखिम,कपास की जगह बाजरा उगाएं
Haryana,🔴 कमजोर मिट्टी,🔴 गंभीर जल संकट,🔴 उच्च जोखिम,ड्रिप सिंचाई करें और दालें उगाएं
Uttar Pradesh,🟡 ठीक-ठाक मिट्टी,🟢 पानी ठीक है,🟡 मध्यम जोखिम,मसूर या कम अवधि वाला चावल उगाएं
Maharashtra,🟢 अच्छी मिट्टी,🟢 पानी अच्छा है,🟢 कम जोखिम,कपास या सोयाबीन उगाएं
Tamil Nadu,🟡 औसत मिट्टी,🟢 पानी सामान्य है,🟡 मध्यम जोखिम,मूंगफली या दालें उगाएं
Kerala,🟢 स्वस्थ मिट्टी,🟢 पानी अच्छा है,🟢 सुरक्षित,धान और मसालों के लिए उत्तम
Andhra Pradesh,🟡 मध्यम मिट्टी,🟡 मध्यम पानी,🟡 मध्यम जोखिम,सूरजमुखी या ज्वार उगाएं
Gujarat,🟡 औसत मिट्टी,🟢 अच्छा पानी,🟡 मध्यम जोखिम,बाजरा या मूंगफली उगाएं
Bihar,🟡 मध्यम मिट्टी,🟡 पानी सामान्य,🟡 मध्यम जोखिम,दाल या मक्का के लिए अच्छा
West Bengal,🟢 अच्छी मिट्टी,🟢 अच्छा पानी,🟢 सुरक्षित,चावल और सब्जियां उगाएं

