Region,Soil_Health,Groundwater_Status,Overall_Risk,Suggestion
Punjab,🔴 చెడ్డ నేల,🔴 తక్కువ నీరు,🔴 అధిక ప్రమాదం,పత్తికి బదులు సజ్జ లేదా బజ్రా వేసుకోండి
Haryana,🔴 బలహీనమైన నేల,🔴 తీవ్రమైన నీటి కొరత,🔴 అధిక ప్రమాదం,డ్రిప్ నీటి పద్ధతిని ఉపయోగించి పప్పులు సాగు చేయండి
Uttar Pradesh,🟡 సరే నేల,🟢 నీరు సరే,🟡 మాధ్యమ ప్రమాదం,పప్పులు లేదా తక్కువ సమయపు బియ్యం వేసుకోండి
Maharashtra,🟢 మంచి నేల,🟢 మంచి నీరు,🟢 తక్కువ ప్రమాదం,పత్తి లేదా సోయాబీన్ సాగు చేయండి
Tamil Nadu,🟡 మోస్తరు నేల,🟢 నీరు సరిపడింది,🟡 మాధ్యమ ప్రమాదం,వేరుశనగ లేదా పప్పులు వేసుకోండి
Kerala,🟢 ఆరోగ్యకరమైన నేల,🟢 మంచి నీరు,🟢 సురక్షితం,బియ్యం మరియు మసాలా సాగుకు ఉత్తమం
Andhra Pradesh,🟡 మితమైన నేల,🟡 మితమైన నీరు,🟡 మాధ్యమ ప్రమాదం,సూర్యకాంతి లేదా జొన్న సాగు చేయండి
Gujarat,🟡 మోస్తరు నేల,🟢 మంచి నీరు,🟡 మాధ్యమ ప్రమాదం,సజ్జ లేదా వేరుశనగ సాగు చేయండి
Bihar,🟡 మితమైన నేల,🟡 నీరు సరిపడింది,🟡 మాధ్యమ ప్రమాదం,పప్పులు లేదా మక్కజొన్నకు అనుకూలం
West Bengal,🟢 మంచి నేల,🟢 మంచి నీరు,🟢 సురక్షితం,బియ్యం మరియు కూరగాయలు వేసుకోండి
