Region,Soil_Health,Groundwater_Status,Overall_Risk,Suggestion
Punjab,🔴 খারাপ মাটি,🔴 খুব কম জল,🔴 উচ্চ ঝুঁকি,পাটের পরিবর্তে বাজরা চাষ করুন
Haryana,🔴 দুর্বল মাটি,🔴 গুরুতর জল সংকট,🔴 উচ্চ ঝুঁকি,ড্রিপ সেচ ব্যবহার করুন এবং ডাল চাষ করুন
Uttar Pradesh,🟡 মাঝারি মাটি,🟢 জল ভালো,🟡 মাঝারি ঝুঁকি,ডাল বা স্বল্প মেয়াদী ধান চাষ করুন
Maharashtra,🟢 ভালো মাটি,🟢 ভাল জল,🟢 কম ঝুঁকি,পাট বা সয়াবিন চাষ করুন
Tamil Nadu,🟡 গড় মাটি,🟢 জল ঠিক আছে,🟡 মাঝারি ঝুঁকি,চিনা বাদাম বা ডাল চাষ করুন
Kerala,🟢 স্বাস্থ্যকর মাটি,🟢 ভাল জল,🟢 নিরাপদ,ধান ও মসলা চাষের জন্য উপযুক্ত
Andhra Pradesh,🟡 মাঝারি মাটি,🟡 মাঝারি জল,🟡 মাঝারি ঝুঁকি,সূর্যমুখী বা জোয়ার চাষ করুন
Gujarat,🟡 গড় মাটি,🟢 ভাল জল,🟡 মাঝারি ঝুঁকি,বাজরা বা চিনা বাদাম চাষ করুন
Bihar,🟡 মাঝারি মাটি,🟡 জল ঠিক আছে,🟡 মাঝারি ঝুঁকি,ডাল বা ভুট্টা চাষের জন্য উপযুক্ত
West Bengal,🟢 ভালো মাটি,🟢 ভাল জল,🟢 নিরাপদ,ধান এবং সবজি চাষ করুন
