Region,Soil_Health,Groundwater_Status,Overall_Risk,Suggestion
Punjab,🔴 மோசமான மண்,🔴 நீர் மிகக் குறைவு,🔴 அதிக அபாயம்,பருத்திக்கு பதிலாக கம்பு பயிரிடுங்கள்
Haryana,🔴 குறைவான மண்,🔴 தீவிர நீர் குறைவு,🔴 அதிக அபாயம்,டிரிப் நீர்ப்பாசனம் பயன்படுத்தி பருப்பு வகைகள் பயிரிடுங்கள்
Uttar Pradesh,🟡 சராசரி மண்,🟢 நீர் நன்று,🟡 நடுத்தர அபாயம்,பருப்பு அல்லது குறுகிய கால அரிசி பயிரிடுங்கள்
Maharashtra,🟢 நன்று மண்,🟢 நீர் நல்லது,🟢 குறைந்த அபாயம்,பருத்தி அல்லது சோயா பயிரிடுங்கள்
Tamil Nadu,🟡 நடுத்தர மண்,🟢 நீர் சராசரி,🟡 நடுத்தர அபாயம்,வேர்க்கடலை அல்லது பருப்பு பயிரிடுங்கள்
Kerala,🟢 ஆரோக்கியமான மண்,🟢 நீர் நல்லது,🟢 பாதுகாப்பானது,நெல்லும் மசாலாவும் சிறந்தவை
Andhra Pradesh,🟡 மிதமான மண்,🟡 நடுத்தர நீர்,🟡 நடுத்தர அபாயம்,சூரியகாந்தி அல்லது சோளம் பயிரிடுங்கள்
Gujarat,🟡 நடுத்தர மண்,🟢 நல்ல நீர்,🟡 நடுத்தர அபாயம்,கம்பு அல்லது வேர்க்கடலை பயிரிடுங்கள்
Bihar,🟡 மிதமான மண்,🟡 நீர் சராசரி,🟡 நடுத்தர அபாயம்,பருப்பு அல்லது மக்காச்சோளம் பயிரிடுங்கள்
West Bengal,🟢 நன்று மண்,🟢 நல்ல நீர்,🟢 பாதுகாப்பானது,அரிசி மற்றும் காய்கறிகள் உகந்தவை
